Dep_ID,Video_ID,Response_Video,Loom_Speed,Site,Site_Rep,Trial_Event,Fish_ID,Species,Size,Response_Present,Responseframe_LF,After_FR,Response_Rank,Response_Category,Distance_to_Coral,Distance_to_Stimulus,Neighbor_Proximity,NAS,N,Orientation_Angle,Viewing_Angle,Speed,Response_Binary
2,40,No,1.0,2,1,1,7,BicolorDamselfish,81.74138657046223,No,,,,NRL_nr,8.996635602063616,1284.274340838661,98.70213287252956,66.61877554559722,57.6290755607082,94.30962263539688,43.65448333318098,,0
2,40,No,1.0,2,1,1,8,BrownChromis,123.7149080067886,No,,,,NRL_nr,24.782890970492726,1287.164340647759,128.46427710830326,69.17603312626798,12.136504171979787,106.24685110484472,47.66552626270007,,0
2,41,Yes,2.0,2,1,2,1,BrownChromis,61.07592478153094,Yes,2379.0,0.0,1.0,FR,704.3376166423018,855.5842487182073,13.066384806905411,17.259787397951854,0.0,36.27045443661077,27.498628787517863,1136.8199190042296,1
2,41,Yes,2.0,2,1,2,2,BicolorDamselfish,33.8628486230165,Yes,2452.0,73.0,5.0,SRL,361.8298101013525,1123.3563434863831,15.87753232339536,22.12083676230133,18.628844033362945,8.071288209412531,34.4496675791816,260.90736887556966,1
2,41,Yes,2.0,2,1,2,3,BrownChromis,30.47188363488168,No,,74.0,6.0,NRL_r,81.962812083417,1103.1727932199428,6.946092505636929,14.722001905185277,8.633302855318684,9.743635697627711,43.56867641964603,,0
2,41,Yes,2.0,2,1,2,4,BrownChromis,63.60499898904587,Yes,2415.0,36.0,4.0,SRL,782.5117940267448,1477.0089385710762,18.276080950966065,15.130289175083536,0.0,11.555080216261867,14.641291442855312,456.6411308444692,1
2,41,Yes,2.0,2,1,2,5,BrownChromis,57.02388989125749,Yes,2387.0,8.0,2.0,SRL,891.0651961896853,1342.0004605613717,18.849708099754313,21.80903461724115,11.30129582887346,92.64449091993588,21.03780031563531,1437.3509187501147,1
2,41,Yes,2.0,2,1,2,6,BrownChromis,,Yes,2407.0,28.0,3.0,SRUD,,,0.0,0.0,0.0,,,,0
2,41,Yes,2.0,2,1,2,7,BrownChromis,63.1883897463818,No,,74.0,6.0,NRNL_r,207.00573376831065,1832.719854179607,3.2448631289796896,9.643598820600232,,132.96054844000014,62.56983270644716,,0
2,41,Yes,2.0,2,1,2,8,BrownChromis,,Yes,2387.0,8.0,2.0,SRUD,,,0.0,0.0,0.0,,,,0
2,42,Yes,4.0,2,1,3,1,BicolorDamselfish,68.3249276950798,Yes,2390.0,0.0,1.0,FR,335.0170431619141,876.792308274514,35.76207389838906,33.410732056297114,5.765648066851457,42.8257821516291,31.96786486570861,680.2137648214424,1
2,42,Yes,4.0,2,1,3,2,BrownChromis,49.42167008036129,No,,16.0,4.0,NRNL_r,2.9852444468323327,1681.4698731692808,4.839919783574058,15.461389344812178,,32.90900545214425,67.93649271773293,,0
2,42,Yes,4.0,2,1,3,3,BrownChromis,54.180242437739466,Yes,2395.0,5.0,2.0,SRL,515.0542447270313,915.392031399066,44.47456257192419,44.891107734822334,27.251440966411472,26.697145780109157,30.134959261519683,866.8334060753978,1
2,42,Yes,4.0,2,1,3,4,BicolorDamselfish,46.797141731154795,No,,16.0,4.0,NRNL_r,227.82388744473232,1111.7613075578918,10.833475427565809,16.311639154697858,,18.201277521999447,69.41332209012614,,0
2,42,Yes,4.0,2,1,3,5,BrownChromis,68.45774567653454,No,,16.0,4.0,NRL_r,902.6795979690952,1530.9168378637,13.303340165212187,25.270626712393796,22.000710565434424,7.790205128711747,40.69781162704512,,0
2,42,Yes,4.0,2,1,3,6,BrownChromis,53.56756540642381,Yes,2392.0,2.0,1.0,FR,821.6514746773374,1023.735358729592,24.52375422272987,32.23231908851808,13.281865883564702,52.52551515094187,28.32131335095994,942.1173455165796,1
2,42,Yes,4.0,2,1,3,7,BrownChromis,80.22157616251926,Yes,2405.0,15.0,3.0,SRL,846.1506206746693,1160.6263001862626,22.60689710102317,19.950494024489146,15.019515595172663,57.89923478753261,49.21614575069757,750.7833237148853,1
2,43,Yes,6.0,2,1,4,1,BrownChromis,22.794235757489,No,,24.0,6.0,NRL_r,61.061788698850144,1580.993737673202,10.205996995311065,17.75951751631483,11.78385746490829,144.43758366884643,47.90007038224813,,0
2,43,Yes,6.0,2,1,4,2,BicolorDamselfish,38.06676365031028,Yes,2392.0,15.0,4.0,SRL,268.59179501334285,1177.2701405190674,13.15616783425071,14.787272872715178,7.424258011540293,44.61623771102348,36.65544747012697,1312.2116955961212,1
2,43,Yes,6.0,2,1,4,3,BrownChromis,43.90773279369476,Yes,2377.0,0.0,1.0,FR,606.026113386284,707.8188510190872,32.050039072691355,25.568159760349896,7.971029177523552,59.18287592793907,10.51768247922078,2615.834366950716,1
2,43,Yes,6.0,2,1,4,4,BrownChromis,65.61662229276887,No,,24.0,6.0,NRNL_r,241.3998966072956,1772.3020105136495,5.99551744522066,10.75203633342641,,44.2191664527907,64.15378985003102,,0
2,43,Yes,6.0,2,1,4,5,BrownChromis,58.14532309834012,Yes,2382.0,5.0,2.0,SRL,798.9301786037975,823.5267125640784,26.83176466763027,24.986935402614833,18.06464894237895,107.19814724259533,5.305371561318246,1743.5488164893711,1
2,43,Yes,6.0,2,1,4,6,BicolorDamselfish,61.07660715939089,Yes,2400.0,23.0,5.0,SRL,658.6888383488183,1618.4587171019946,8.558940783514856,15.939956782564842,9.02343277105101,169.02998241644778,18.506494477531007,1207.074440483419,1
2,43,Yes,6.0,2,1,4,7,BrownChromis,50.623249584579874,Yes,2387.0,10.0,3.0,SRL,1269.8670680027772,1413.7395309635187,7.074420924341862,17.730265812196038,9.404070052721192,43.43942919101819,17.729030441920695,1818.2764152882428,1
2,43,Yes,6.0,2,1,4,8,BrownChromis,56.05682668915715,No,,24.0,6.0,NRNL_r,681.7781794638646,431.81309880320595,4.752370595666773,10.987064369355958,,37.64944632585086,93.25475368223395,,0
2,44,No,1.0,2,1,5,1,DuskyDamselfish,61.344612579272386,No,,,,NRL_nr,518.7273504008252,598.7653328897086,85.02630300624129,36.06135530419462,36.06135530419462,22.61577097616411,40.520326871841576,,0
2,44,No,1.0,2,1,5,2,BicolorDamselfish,38.58699628025104,No,,,,NRL_nr,56.95094601640973,1545.8383757055803,63.23819921841992,25.908163203696727,20.235189868823845,53.48645358222361,47.860242880844595,,0
2,44,No,1.0,2,1,5,3,BrownChromis,56.46077400275041,No,,,,NRL_nr,414.98805689250344,1138.955115160904,15.37183780073564,23.995936879963807,17.52718777374902,37.511670710720544,35.09258683662576,,0
2,44,No,1.0,2,1,5,4,BrownChromis,68.7145943090094,No,,,,NRNL_nr,269.42438866681147,1774.807459176241,8.630323569943393,14.394015834507734,,34.200234514926954,67.35138488750414,,0
2,44,No,1.0,2,1,5,5,BrownChromis,63.53552582525073,No,,,,NRL_nr,207.15297743480312,1220.903724745159,18.690692818626474,25.107637680065675,10.105819931908862,16.2147124234807,32.908061151637554,,0
2,44,No,1.0,2,1,5,6,BrownChromis,55.74491087944046,No,,,,NRL_nr,412.8880063346323,643.9586933630607,87.86778519857269,44.62005095352542,33.129495633135924,20.964479780563575,51.52383100465115,,0
2,44,No,1.0,2,1,5,7,BrownChromis,72.176427215232,No,,,,NRL_nr,419.6877171085449,813.1304520358631,36.89041557993881,22.80656556459705,8.200166801716527,13.81929566704374,33.809244333920404,,0
2,44,No,1.0,2,1,5,8,BicolorDamselfish,,No,,,,NRTC,50.11279383668077,1638.6266695321608,61.58278398811997,39.798524687286765,39.798524687286765,,51.46095015572086,,0
2,45,No,1.0,2,1,6,1,BrownChromis,,No,,,,NRUD,,,0.0,0.0,0.0,,,,0
2,45,No,1.0,2,1,6,2,BrownChromis,70.73122832917508,No,,,,NRNL_nr,350.57071877449044,509.4960715940836,11.163602412611764,19.666435832476303,,163.11082848014573,80.85918585629553,,0
2,45,No,1.0,2,1,6,3,BrownChromis,69.96280977429593,No,,,,NRL_nr,1094.1387613657143,1182.6217755432076,6.961527254216879,17.76265571557245,11.486177509436503,99.11311278042012,43.96566678358217,,0
2,45,No,1.0,2,1,6,4,BrownChromis,64.23710567132932,No,,,,NRL_nr,901.9208619841525,1062.2906029343997,8.1926595492033,14.419937011280094,9.622454700514078,76.59462586068145,15.692672277799508,,0
2,45,No,1.0,2,1,6,5,BrownChromis,89.5059853786041,No,,,,NRL_nr,135.0539729281004,1629.759095082186,8.186564308422536,15.039141644470728,15.039141644470728,85.53939267505366,45.90047988946534,,0
2,45,No,1.0,2,1,6,6,BicolorDamselfish,66.58711246906381,No,,,,NRNL_nr,396.1090323394536,526.8468691556882,15.148779950689123,22.653293441594073,,100.76126253653352,80.66454028128516,,0
2,45,No,1.0,2,1,6,7,BicolorDamselfish,35.543098815321486,No,,,,NRNL_nr,97.06089452360608,949.2518520476104,14.046487084980638,21.30969970740011,,164.48184656297747,70.18523128522448,,0
2,45,No,1.0,2,1,6,8,BicolorDamselfish,49.874479698906605,No,,,,NRL_nr,206.1582806326158,1260.1381466560626,13.508728799905915,16.809324618160417,11.82578578936958,22.132273384983048,34.9501581892055,,0
2,45,No,1.0,2,1,6,9,BrownChromis,,No,,,,NRUD,,,0.0,0.0,0.0,,,,0
2,48,Yes,4.0,2,1,9,1,BrownChromis,59.15145140132098,Yes,2395.0,12.0,3.0,SRL,802.7067380222435,748.6531078652197,8.89655517447841,21.852694817616054,4.590151792569036,76.91255807537142,10.978230132117336,849.7234282032782,1
2,48,Yes,4.0,2,1,9,2,BrownChromis,84.16856232346358,Yes,2383.0,0.0,1.0,FR,679.115570013532,1013.5019573016538,12.829764951975775,18.954552733774143,12.378956326329035,62.848502153255744,32.88027497210706,1603.4418049120163,1
2,48,Yes,4.0,2,1,9,3,BicolorDamselfish,50.707534032009946,Yes,2393.0,10.0,2.0,SRL,438.25771570636147,1390.6672704549442,11.573262145890332,23.49898315040638,18.82948782559646,146.75011309387483,32.74412005628947,1717.3374959819837,1
2,48,Yes,4.0,2,1,9,4,BrownChromis,65.25032961127842,Yes,2386.0,3.0,1.0,FR,1131.6354818534433,1260.9984247594969,9.169612647673254,18.985465535453713,12.338722796688248,95.15555485144694,25.324796175785668,3644.89427052715,1
2,48,Yes,4.0,2,1,9,5,BrownChromis,35.86521711944445,Yes,2419.0,36.0,5.0,SRL,380.7531533841648,1931.6313213445112,5.838355925342508,16.769536120082936,16.769536120082936,111.55255973262744,49.418879031100374,172.32317900892662,1
2,48,Yes,4.0,2,1,9,6,BrownChromis,58.02759931687817,No,,37.0,6.0,NRNL_r,346.97890401164113,654.6045377214185,17.249611227274237,16.40890875534584,,167.42720610839245,85.79738528738278,,0
2,48,Yes,4.0,2,1,9,7,BrownChromis,55.99605812267226,No,,37.0,6.0,NRNL_r,114.04309161702965,797.4177257303913,19.957909644511364,14.6799455299595,,17.94826866708747,64.60710027438789,,0
2,48,Yes,4.0,2,1,9,8,BrownChromis,61.22485662644144,No,,37.0,6.0,NRL_r,250.372517545149,1470.547875410797,9.505497894547783,18.39061706956774,10.844790741340915,168.2296695214286,36.54612825183108,,0
2,48,Yes,4.0,2,1,9,9,BrownChromis,,Yes,2402.0,19.0,4.0,SRUD,,,0.0,0.0,0.0,,,,0
2,50,No,6.0,2,1,11,1,BrownChromis,76.73679712496407,No,,,,NRL_nr,1220.0922315807472,1213.8972852434622,5.037342239170408,10.111173051285096,6.728529408951573,34.876113843647,19.68085317481988,,0
2,50,No,6.0,2,1,11,2,BrownChromis,60.278258934342,No,,,,NRL_nr,978.5976070089566,834.9088839656673,6.009094711581105,13.32250628623176,13.32250628623176,9.746816815500985,21.600527842955895,,0
2,50,No,6.0,2,1,11,3,BrownChromis,69.69827763840853,No,,,,NRNL_nr,18.512428249529872,1731.9297893587309,2.576891312994702,8.08273815717138,,16.105309065385086,67.35622037921937,,0
2,50,No,6.0,2,1,11,4,Basslet,,No,,,,NRUD,,,0.0,0.0,0.0,,,,0
2,50,No,6.0,2,1,11,5,BicolorDamselfish,34.663963809688035,No,,,,NRL_nr,183.9869724964838,972.8854527157928,5.0647838236041105,15.44591551755719,10.157130087947872,77.98818362850673,51.589450080251744,,0
2,50,No,6.0,2,1,11,6,BrownChromis,69.47520588178,No,,,,NRNL_nr,318.46362810699014,599.7120336500442,4.1901903274266985,8.967971886359813,,80.03077935030562,90.36845975227064,,0
2,52,No,6.0,2,1,13,1,BrownChromis,62.430148329045785,No,,,,NRL_nr,844.9805034475607,553.8766662628772,15.245214703822503,27.584639649739028,1.484865211121906,13.720900214500752,47.12147318705111,,0
2,52,No,6.0,2,1,13,2,BrownChromis,74.4690494409432,No,,,,NRNL_nr,261.9573045351368,1482.0066017150527,9.087703586684189,19.030456869076943,,59.18863915601845,65.95726702665908,,0
2,52,No,6.0,2,1,13,3,BrownChromis,78.39906769778406,No,,,,NRNL_nr,341.5682966480601,532.2304992424345,9.874068989888675,17.386267150619897,,38.05202701737209,76.91143932636078,,0
2,52,No,6.0,2,1,13,4,BicolorDamselfish,65.83622697247021,No,,,,NRL_nr,624.7370336106405,840.5679874032302,18.755741382538208,33.70987118254766,15.45751722185416,166.8929464891249,26.823213461617932,,0
2,52,No,6.0,2,1,13,5,BicolorDamselfish,51.33388661166523,No,,,,NRL_nr,705.4840766153006,1254.9559275966046,4.922357388484558,17.439500769964162,0.0,15.18602441140212,25.38940528823581,,0
2,52,No,6.0,2,1,13,6,BicolorDamselfish,34.94996453525921,No,,,,NRL_nr,220.253143947483,1136.2658726883196,14.93960436236863,31.053017549720582,22.511764420701443,163.15973267286216,52.68564259190506,,0
2,52,No,6.0,2,1,13,7,BrownChromis,69.92215380641896,No,,,,NRL_nr,1112.0804468491356,1131.2533391034356,26.01374174300973,33.91241188028598,16.06370726061935,44.065886661750554,40.33958353399968,,0
2,52,No,6.0,2,1,13,8,BrownChromis,64.68349051175004,No,,,,NRL_nr,1066.1263172928611,1314.0752691749517,24.167415189942,36.34166744129827,36.34166744129827,69.00618492201112,39.45082297153752,,0
2,53,No,0.5,2,1,14,1,BrownChromis,67.44021679118194,No,,,,NRL_nr,963.7720433343236,909.1241598192372,7.490287456835972,16.840717216098444,16.840717216098444,76.69870118905702,21.298395977845264,,0
2,53,No,0.5,2,1,14,2,BrownChromis,54.13024474005736,No,,,,NRL_nr,355.1332812454383,1068.2592344866712,9.137120366325211,16.80859672997419,11.351788363278173,111.4271032491117,26.390207741112555,,0
2,53,No,0.5,2,1,14,3,BicolorDamselfish,79.64332140527787,No,,,,NRL_nr,578.595345181358,477.167806403767,9.624837318310997,20.86085038503457,8.958069086784489,125.38119300768814,27.539943833000848,,0
2,53,No,0.5,2,1,14,4,BrownChromis,69.4679370843884,No,,,,NRNL_nr,404.74981442819256,822.6117968047082,6.846543018799317,15.57835384485576,,155.01823243160416,88.22435865514821,,0
2,53,No,0.5,2,1,14,5,BrownChromis,48.45636163345849,No,,,,NRNL_nr,68.67588918819209,1481.8809717755792,12.789519311400838,16.74771041519257,,129.80223964704248,68.53606480065052,,0
2,53,No,0.5,2,1,14,6,BicolorDamselfish,38.40758485599358,No,,,,NRNL_nr,47.51726446571123,1329.140481139095,14.594193275500482,18.589679154231725,,94.4415548466406,56.19948013502339,,0
2,54,Yes,6.0,2,1,15,1,BicolorDamselfish,34.222075935801335,Yes,2387.0,0.0,1.0,FR,488.96564355371254,1783.3021629497098,8.19486003222972,10.394258116331711,10.394258116331711,51.813822315880714,39.02428984820907,1934.1021463232496,1
2,54,Yes,6.0,2,1,15,2,BrownChromis,59.32443435532785,No,,10.0,4.0,NRNL_r,498.9218506041299,573.170662808965,2.318094795998628,7.021872495330104,,98.45106458417143,109.776234957721,,0
2,54,Yes,6.0,2,1,15,3,BrownChromis,49.356703436497256,Yes,2392.0,5.0,2.0,SRL,1012.4053480089872,1662.281474486463,5.629594000806044,11.633956566507775,11.633956566507775,47.86712194147925,42.77028057129752,2255.732351365376,1
2,54,Yes,6.0,2,1,15,4,BrownChromis,53.47359194558971,No,,10.0,4.0,NRNL_r,0.146181735039493,1698.9911726935866,6.880136416754713,9.185619593383784,,6.280763945059602,66.75710828655288,,0
2,54,Yes,6.0,2,1,15,5,BrownChromis,26.262350295210993,No,,10.0,4.0,NRL_r,48.70947287854451,1603.63174521373,9.817742586182495,13.55333034093311,7.470484356721119,116.36067764267186,49.097644649357896,,0
2,54,Yes,6.0,2,1,15,6,BrownChromis,51.74592947404628,Yes,2396.0,9.0,3.0,SRNL,650.2376170713375,1366.727826734162,6.92405560503746,12.605653521061289,,43.60145801084626,58.107278422018375,2894.4896036218624,1
2,54,Yes,6.0,2,1,15,7,BrownChromis,,No,,10.0,4.0,NRUD,,,0.0,0.0,0.0,,,,0
2,55,No,1.0,2,1,16,1,BrownChromis,55.16323122440884,No,,,,NRNL_nr,37.58547712360672,1057.5355362250762,27.82941129763592,17.14099950927447,,21.585048526867546,80.7450919183256,,0
2,55,No,1.0,2,1,16,2,BicolorDamselfish,38.58598742790469,No,,,,NRL_nr,174.31561380243826,1066.9766768939808,15.477433497664958,24.664668267913548,21.111732063103393,35.632702356737155,48.45420248319193,,0
2,55,No,1.0,2,1,16,3,BrownChromis,105.3013169310102,No,,,,NRNL_nr,255.24269828563985,709.9663148378203,19.318152920204263,23.822081482844393,,98.64121031958577,66.66820991265595,,0
2,55,No,1.0,2,1,16,4,BicolorDamselfish,64.79509527096235,No,,,,NRL_nr,701.1906127870511,262.10777818558785,7.768502571554984,18.0899564817484,18.0899564817484,171.40865149966544,7.534077355824008,,0
2,55,No,1.0,2,1,16,5,BicolorDamselfish,65.7925597236665,No,,,,NRNL_nr,27.16615621137434,928.4782863207492,28.992575495308753,30.135513850546054,,72.80379273841714,79.24749115484303,,0
2,55,No,1.0,2,1,16,6,BrownChromis,61.63175617272206,No,,,,NRL_nr,98.8415362520326,1350.4964637038966,9.171008700727352,18.22622952907498,18.22622952907498,131.89098273007696,39.76899702829164,,0
2,57,No,0.5,2,1,17,1,BicolorDamselfish,23.98313798928812,No,,,,NRL_nr,59.35972221348879,1483.037127596467,4.705425495746866,8.556476535191056,3.801769928558222,58.49814722396193,46.7438016608022,,0
2,57,No,0.5,2,1,17,2,BicolorDamselfish,93.98170939214272,No,,,,NRL_nr,320.88622544113406,886.0013365857326,8.92002245135964,12.579791569701158,3.361735861306233,83.63525794260909,49.83782156780449,,0
2,57,No,0.5,2,1,17,3,BrownChromis,57.39968730835782,No,,,,NRL_nr,978.9004568747353,1430.4223284459977,7.185134083988745,16.892989760645612,15.62500715210531,117.77175473096862,12.889428264203591,,0
2,57,No,0.5,2,1,17,4,BrownChromis,62.04364907090468,No,,,,NRL_nr,851.4231727547539,1149.6145052722704,9.80246165985509,17.151286021573064,12.20910143235025,65.2585119036117,30.75774816205352,,0
